,HHID,Nonfood Consumption Total (annual) (nominal),Nonfood Consumption Total (annual) (real)
8462,2b5672d3ab244c92a4959ff7defb94ee,113109.23867723648,1075.6777328979729
8463,1286781fb1fe4d2f9a4fe8d25be8f194,105189.50642779698,1000.3604579267769
8464,6b90c8b4ef9c490c995cbade63e66264,214255.065341838,2037.5824790623215
8465,a72d9cbcce8e433080991a05a76019f7,17987.975161809638,171.06705489102126
8466,d11aca29ef7e42abaf57935696688f33,85612.73950721005,814.1838687738785
8467,8a20b24303d84279b88b4ca742b5c73f,114043.07195033612,1084.5585605815445
8468,11cab87ccb994edf9e0afa1144566df1,329911.5702692682,3137.4849138249647
8469,1642b0cf60424391b4f279d12c3763ea,12471.662778854683,118.60649139110807
8470,f7b1556ecd0d4c2183c81c63b15ca90b,116521.78747045029,1108.131339625561
8471,3d842bd19b6848edbd1bb9d811f81ea9,49076.41271510082,466.7205348166586
8472,66b514cd5b254864b5960fd1b30c56ff,13499.92795422864,128.38537387320542
8473,c761b5b118484dd5899b0d70e15e7977,128124.57230156902,1218.4747335728548
8474,9a57844c46194dc980d3543326a85f2d,143551.02694558783,1365.181527396153
8475,b58f031dfa084900bc847341eefeab2b,36362.80133671893,345.81309326391136
8476,7b632a437743458aa34180c1c8fda3e1,665575.1223839406,6329.671626225291
8477,c5521630a8d844c4982fc83db9a88f2f,175335.5177830241,1667.4545286572836
8478,fce8a407a59841adb3b30de4faa3f95b,463789.30992510676,4881.180894138684
8479,e831d407d1da4c16a39ba1ea78529c50,16983.198237733835,178.74077945604793
8480,491f100ea1a6472299fa6a7b98bfbbf4,45783.09318076214,489.0107786905787
8481,e30ea6ac17f0420d91489dc29815ae5b,657459.2242055016,6919.472560472249
8482,6c1b887aed1d4680b40831fa361d28e8,228275.9188769308,2438.2228698610847
8483,ebe29166bb2745f4a7c20ffc73b6b3a6,95362.04447281425,1018.5652472422181
8484,b55b4bc4479e448cb6990bbf0859cf16,251835.9906567351,2650.46433745669
8485,9a1e0e6db6264fd7931395eefe02bfee,778481.595864682,8314.988458447695
8486,f966a1975086422db69378c6163f6abb,33022.48696370489,347.5473215849003
8487,996ab47242b84f2d8e88af0c26ef8d64,436559.7494903602,4594.601606290626
8488,e4f8aea8e07047e6bc462b430b12c971,115624.4596567148,1234.988794426106
8489,9531aab8a51844ec8b16d03699ac05b7,72097.23480350513,770.0730222289588
8490,fee89fbd5ca94deea514f6cc2b95704b,52581.75708762987,553.4001379156975
8491,6634de0ec65f4056a51477c3696cd8f7,36078.0880726309,379.70619509452706
8492,7838e57251b54385931779cb1cdcccd6,80213.82042845721,844.215593896467
8493,88b8f123280443c3b7ee75f7badd67df,60061.52051779084,632.1213968293077
8494,28890320b45f4c5193e80672e7512db0,29498.11898738534,279.1387577599151
8495,0aae960acacb4b2f9f41e5716719bd17,189488.03539551643,1793.112802660088
8496,e7bfb03c479f4f6592a70f442a3a4372,78376.54632441404,741.6720973925597
8497,888ad8ec605c4d4a9bb2da549daa7435,77262.91817446497,731.133907533193
8498,60cb198f371045e5ad332eea6d8f1d5f,36976.61837018541,349.90730501934627
8499,4ba197ede23b4c6199bd28f1b1c0d175,147323.60691952307,1394.1135921857244
8500,6c354902697f4696af19ad43378c544b,66825.21625465246,632.3626215060837
8501,d5ee6e0c77a74ac79bc10b5878dd1069,71459.249159466,676.2141697699371
8502,bd2db8e3cb284d22a1420f9499fe654e,53404.755959616814,505.3656893652736
8503,896200575baf4f27a4fa512d2275161a,128982.51525007939,1220.5530493335298
8504,d6bb3e30a3d44bdd8ccbd96ba4c6ab35,126901.48933706939,1200.860438137805
8505,76f8b8c3595b44fbbdc67e43b4f7253b,55104.67789047478,521.4519386705751
8506,5b042981c35940ee9bead2529f6311d7,135013.19587532093,1277.6209830175928
8507,b0ce814e62464d7eb96f518d19625a41,19599.126298349285,185.4652417139033
8508,4af95921d9bb4b85bfdde0b161bff139,64903.91526916645,614.1814767828959
8509,258c44b6fb3e46bbbf39b06e59b32777,57293.56578850615,542.1652407286989
8510,023f5ffde17946cbb4c15fdc49c38d32,47177.34798029341,474.9467730081507
8511,2bee91bc418b4a4881c4d8bb12357523,136636.46353044614,1375.5552231579184
8512,c06c6acee5d340958b72415622dfddde,96847.8203220704,974.9924848267079
8513,f578870209a142b8b4ca0c63ebe5fc37,166556.4614340003,1676.7677130723482
8514,23838d0967794196a6e8e822df495fe6,220705.93904348873,2221.904749207708
8515,814424509496434aba733e83210d3140,41491.03769378435,417.70119146277335
8516,55fe36482b9e4f8dbb881afbdf279a14,256501.47885483984,2582.267865179965
8517,75fa6c14a2bb4310885e1e2c6345cae1,178355.06534183805,1795.547362457677
