,rexp_cat092,annual_use_value
1569,0.0,70.60180804713556
8142,0.0,70.56697926658173
49,0.0,70.2303010545613
1930,0.0,69.52985557897856
9462,0.0,69.05386224474276
3722,0.0,68.52645499635608
4646,0.0,67.94321113152594
6538,0.0,67.81163573832254
4586,0.0,67.52913562938586
5415,457.12402,67.48269725531406
5610,0.0,67.4749575263021
89,0.0,67.18084782384747
8716,0.0,67.13440944977569
8557,0.0,66.97187514052445
6457,0.0,66.75516272818946
984,0.0,65.80704592422387
4699,0.0,65.76060755015207
3817,0.0,65.6290321569487
6793,0.0,65.28074435141032
7812,0.0,65.21108679030264
9527,0.0,65.18012787425478
3333,2640.5215,65.02146342950952
3986,0.0,64.9866346489557
9967,0.0,64.54160023076776
4788,0.0,64.5338605017558
3448,0.0,64.52888496167667
6018,0.0,64.36358646349258
6741,0.0,64.35197686997464
4636,0.0,64.25910012183107
9929,0.0,64.21304873420989
8223,0.0,63.9301616388226
2002,0.0,63.75601773605341
6120,1208.0715,63.676685513680766
3275,0.0,63.42707925304493
4945,0.0,63.349681962925295
243,0.0,63.1561887376262
170,0.0,62.862079035171575
1191,0.0,62.83112011912371
962,0.0,62.69954472592032
7566,0.0,62.664328958915895
4845,0.0,62.2119417981666
9403,0.0,62.13454450804695
2944,0.0,62.12956896796783
9672,0.0,61.76303751547268
663,0.0,61.74368819294278
493,0.0,61.37605106487449
4779,0.0,61.00841393680619
1423,0.0,60.987037542392194
7745,0.0,60.977620872094306
4806,0.0,60.96971529174637
3271,0.0,60.915537188662626
8769,0.0,60.834270034037004
9836,0.0,60.66980079253276
7043,0.0,60.48598222849862
7627,0.0,60.20735198406792
2846,13206.181,60.19187252604399
7082,0.0,60.11254030367136
1620,0.0,59.90550255260132
6174,0.0,59.696529869278294
5014,0.0,59.27084477362027
9000,6399.7363,59.1586187029468
2287,0.0,58.91868710357591
3037,0.0,58.802591168396454
5758,0.0,58.66714591068708
5694,0.0,58.61683767210932
4854,0.0,58.54524517874865
4202,0.0,58.1679333894154
2119,0.0,57.97057029961033
9071,0.0,57.96863536735734
2994,0.0,57.81190585486506
7100,0.0,57.69967978419158
3813,8801.738,57.6958099196856
3336,0.0,57.606803036048014
1124,0.0,57.56810439098819
2619,0.0,57.39783035272499
6576,0.0,57.16353769877711
560,0.0,56.929576747501166
8638,0.0,56.600638264492694
6011,0.0,56.56967934844484
9431,0.0,56.538720432396985
435,0.0,56.31426829105003
9105,0.0,56.1904326268586
9537,1526.4453,56.04531270788428
6991,11797.838,55.98919967254754
7729,0.0,55.96598048551165
3954,0.0,55.900192788909955
7229,0.0,55.56351457688952
7483,0.0,54.91337733988455
1296,0.0,54.4722127862026
8802,0.0,54.46834292169661
4509,0.0,54.39675042833595
6348,0.0,54.33289766398725
9460,0.0,54.30193874793939
2264,0.0,54.09241322682979
1619,0.0,54.04394778087392
8588,0.0,53.83948993947454
3551,0.0,53.810465955679675
888,0.0,53.551185033778886
6666,366.26508,53.53957544026094
7186,0.0,53.24933560231228
203,0.0,53.222246550770414
9013,0.0,52.82365050665427
781,0.0,52.72137551613903
3028,0.0,52.66885592641499
3802,0.0,52.60500316206629
4912,0.0,52.52954080419963
2778,0.0,52.498581888151776
7480,0.0,52.386355817478304
7249,0.0,52.0651570634818
3215,0.0,51.98775977336216
2552,11903.614,51.85037958339979
3106,0.0,51.83683505762885
779,0.0,51.645276764582746
250,0.0,51.64334183232976
8699,0.0,51.38212597817597
4892,4273.38,51.27570470426147
4492,0.0,51.037431618250295
1080,2751.2676,51.024163511372635
5596,0.0,50.93709155998804
6091,0.0,50.888718253663264
6149,0.0,50.84338555516462
1535,0.0,50.6910787449649
196,0.0,50.65908049387829
9631,0.0,50.59847841571462
2956,0.0,50.33919749381382
7481,3099.1355,49.994779552781424
5837,0.0,49.983169959263485
5332,0.0,49.89803294013188
4296,0.0,49.857399362819066
5747,0.0,49.32529299324654
9640,0.0,49.13953949695941
5279,1772.0065,48.991160744716886
1770,0.0,48.82414553972187
8680,0.0,48.79899142043298
2789,0.0,48.45070361489461
5992,0.0,48.199162422005784
5984,0.0,48.12176513188614
7806,0.0,48.0869363513323
4166,0.0,47.79669651338365
3797,0.0,47.73477868128794
9086,0.0,47.62642247512044
7965,0.0,47.62255261061446
7331,0.0,47.2703949405701
8649,0.0,47.183322989185505
3500,0.0,47.11560036033082
836,0.0,46.99563456064538
7572,0.0,46.85244957392405
8303,0.0,46.689915264672806
9274,0.0,46.47900764909678
2445,0.0,46.42676447826602
4674,0.0,46.32227813660451
6185,0.0,46.27003496577375
8447,0.0,45.943031415018275
6831,0.0,45.776627241261046
7780,0.0,45.54830523540811
2353,0.0,45.51347645485427
5703,1760.3477,45.32993430971341
4384,0.0,45.296764042519285
2890,0.0,45.215496887893664
6819,0.0,45.17679824283384
5515,0.0,45.002654340064645
4785,0.0,44.94460637247492
5333,0.0,44.80418557468643
6279,0.0,44.54407539610578
748,0.0,44.20933211633834
6820,0.0,44.15902387776057
3515,0.0,44.11645536819477
9804,0.0,44.104845774676825
1107,0.0,44.10291084242384
2578,0.0,44.08549645214691
3153,0.0,44.060342332858035
3404,0.0,44.03518821356915
5199,0.0,44.01390395878625
8299,0.0,43.75268810463247
8293,0.0,43.652071627476936
3220,0.0,43.44116401190091
2106,8807.187,43.41600989261203
1182,0.0,43.41600989261203
4633,0.0,43.342482466998376
9364,0.0,43.323133144468464
2471,0.0,43.30765368644453
2091,0.0,43.29991395743257
9974,0.0,43.177736806600855
2799,0.0,43.16833856422918
6289,4400.869,43.15672897071124
3919,0.0,43.148989241699276
7658,0.0,43.08320154509758
2129,0.0,42.901317913316426
1331,0.0,42.70008495900536
6513,0.0,42.65751644943956
2861,0.0,42.626557533391704
4976,0.0,42.61494793987376
235,914.24805,42.58011915931992
333,0.0,42.39436566303278
6571,0.0,42.375016340502874
6632,0.0,42.3053587793952
8015,0.0,42.2202217602636
5738,0.0,42.200872437733686
2064,11903.614,42.08864636706021
9503,264.21558,41.98219413422966
8909,0.0,41.89708807401409
2542,0.0,41.70552978096799
7560,0.0,41.60104343930647
4493,0.0,41.562344794246656
4554,0.0,41.54686533622273
452,0.0,41.508166691162906
2189,0.0,41.4462488590672
5430,0.0,41.2933892110809
9531,0.0,41.19083780167238
5389,0.0,41.13665969858863
7689,0.0,41.080546663251894
4541,0.0,41.04378295044506
6362,0.0,41.02830349242114
2886,0.0,40.93349181202458
6539,0.0,40.90916694941555
7699,0.0,40.7574129770024
9813,0.0,40.63357731281097
6462,0.0,40.46136834229477
3334,0.0,40.44008408751187
475,0.0,40.41299503597
7061,0.0,40.40138544245205
9966,0.0,40.09566614647947
3626,0.0,39.917652379204306
822,0.0,39.83445029232569
3992,0.0,39.8325153600727
3698,0.0,39.73963861192913
1643,0.0,39.70480983137529
4571,0.0,39.592583760701814
8968,0.0,39.37587134836683
8328,0.0,39.35652202583692
9913,0.0,39.2094671746096
4301,0.0,39.10498083294808
9785,0.0,39.0159739493105
1759,0.0,38.87278896258917
6849,0.0,38.85343964005926
8807,0.0,38.834090317529345
7964,0.0,38.748953298397744
4436,0.0,38.74121356938578
8171,0.0,38.694775195313994
817,0.0,38.66381627926614
4134,0.0,38.628987498712306
940,0.0,38.61737790519436
6063,0.0,38.520631292544806
5647,0.0,38.24393598036709
689,0.0,38.09494619688678
1009,0.0,37.98272012621331
7526,0.0,37.97111053269536
8465,0.0,37.8550145975159
6354,0.0,37.62282272715698
1121,0.0,37.47963774043565
3083,0.0,37.14141158261282
5048,0.0,37.00364440619987
7687,0.0,36.94946630311612
5348,0.0,36.85852448722553
8021,0.0,36.843045029201605
4792,0.0,36.802411451888794
3701,0.0,36.7791922648529
9930,0.0,36.65406664582615
1471,0.0,36.632137413625586
9429,0.0,36.58569903955381
7301,0.0,36.49088735915725
8489,0.0,36.318678388641054
5370,0.0,36.309003727376094
667,0.0,36.08261665377614
2543,0.0,35.94678440961618
9251,0.0,35.87364397045312
7273,0.0,35.819465867369374
7527,0.0,35.80011654483946
785,0.0,35.800116544839454
7883,0.0,35.70336993218991
1042,0.0,35.67047608388906
8174,0.0,35.58340413250447
3569,0.0,35.52535616491474
8675,0.0,35.517616435902774
8989,0.0,35.35701705890452
1076,0.0,35.351212262145545
6503,0.0,35.33186293961564
1087,0.0,35.235116326966086
7654,0.0,35.22350673344814
2273,0.0,35.211897139930194
9051,0.0,35.194482749653275
9309,0.0,35.17706835937636
5526,0.0,35.153849172340465
4861,0.0,35.13836971431654
3704,0.0,35.037753237161006
2054,0.0,35.00292445660717
2050,0.0,34.956486082535385
6904,0.0,34.89069838593369
8365,0.0,34.88185298134859
715,0.0,34.8674791988978
1805,0.0,34.77460245075424
